                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.54089,                 1.9821,                0.95585,                0.81908,                0.89127,                0.90774,                0.80325,                0.51324,                 1.8068,                0.88653,             0.00047223,             0.00047223,             0.00047223
                      1,                0.54761,                0.94949,                0.93576,                0.91938,                0.91195,                0.96837,                0.83499,                0.56245,                0.84831,                0.92221,               0.000911,               0.000911,               0.000911
                      2,                0.55441,                0.61652,                0.93554,                0.95652,                0.95235,                 0.9867,                0.86192,                0.53864,                0.48339,                0.91067,               0.001312,               0.001312,               0.001312
                      3,                0.54742,                0.49082,                0.93677,                0.98176,                0.97369,                0.99256,                0.87835,                0.51469,                0.45817,                 0.8897,              0.0012592,              0.0012592,              0.0012592
                      4,                0.52829,                0.42331,                 0.9241,                0.96718,                0.95523,                0.99146,                 0.8838,                0.48287,                0.36485,                0.87021,              0.0012592,              0.0012592,              0.0012592
                      5,                0.50444,                0.39002,                0.91653,                0.97564,                0.96784,                0.99163,                0.89624,                0.46199,                0.30738,                0.86239,              0.0012026,              0.0012026,              0.0012026
                      6,                0.50384,                0.36562,                  0.919,                 0.9884,                0.97777,                0.99428,                0.90563,                0.45055,                0.28415,                 0.8538,              0.0011461,              0.0011461,              0.0011461
                      7,                0.49007,                0.34194,                0.90814,                  0.976,                0.97522,                0.99395,                0.91597,                0.43798,                0.27467,                0.85243,              0.0010895,              0.0010895,              0.0010895
                      8,                0.48287,                0.32961,                0.90944,                0.99095,                0.99263,                0.99454,                0.92563,                0.42788,                0.22401,                 0.8501,              0.0010329,              0.0010329,              0.0010329
                      9,                0.48256,                0.32558,                0.91005,                0.98881,                 0.9871,                0.99421,                0.90713,                0.44343,                0.26487,                0.85669,             0.00097629,             0.00097629,             0.00097629
                     10,                0.47723,                0.32137,                0.90694,                0.95549,                0.95462,                0.98333,                0.90504,                0.42715,                0.30286,                0.84905,              0.0009197,              0.0009197,              0.0009197
                     11,                0.46653,                0.30079,                0.90156,                0.99364,                0.99326,                0.99496,                0.92136,                0.42056,                 0.2171,                0.84279,             0.00086312,             0.00086312,             0.00086312
                     12,                0.46176,                0.29709,                0.90091,                0.99605,                0.99589,                0.99495,                 0.9213,                0.41552,                0.21837,                0.84504,             0.00080653,             0.00080653,             0.00080653
                     13,                0.45672,                0.28608,                    0.9,                0.99298,                 0.9984,                 0.9949,                0.93432,                0.41594,                0.20937,                0.84115,             0.00074994,             0.00074994,             0.00074994
                     14,                0.45027,                0.28358,                0.90014,                 0.9906,                0.99488,                0.99485,                0.92924,                0.41321,                0.21142,                 0.8407,             0.00069335,             0.00069335,             0.00069335
                     15,                0.44266,                0.27567,                0.89604,                0.99647,                0.99543,                0.99495,                0.93209,                0.41006,                0.19797,                 0.8377,             0.00063676,             0.00063676,             0.00063676
                     16,                0.43791,                0.26806,                0.89325,                0.98974,                0.99262,                0.99489,                 0.9383,                0.41251,                0.20815,                0.83699,             0.00058017,             0.00058017,             0.00058017
                     17,                0.43501,                0.25892,                0.89224,                0.99473,                0.99582,                0.99451,                 0.9366,                0.40158,                0.18849,                0.83281,             0.00052359,             0.00052359,             0.00052359
                     18,                0.43409,                0.25405,                0.89088,                 0.9856,                0.99288,                0.99372,                0.93124,                0.40158,                0.19966,                0.83361,               0.000467,               0.000467,               0.000467
                     19,                0.42457,                0.24884,                0.88713,                0.99849,                0.99814,                0.99488,                0.93487,                0.39924,                0.18243,                 0.8338,             0.00041041,             0.00041041,             0.00041041
                     20,                0.42123,                0.23911,                0.88675,                0.99574,                0.99566,                0.99487,                0.94209,                0.39274,                 0.1785,                0.82866,             0.00035382,             0.00035382,             0.00035382
                     21,                0.41857,                0.23574,                0.88672,                0.99676,                0.99753,                0.99489,                0.94151,                0.39678,                0.17151,                0.83118,             0.00029723,             0.00029723,             0.00029723
                     22,                0.40649,                0.22453,                0.88012,                0.99679,                0.99834,                0.99492,                0.93926,                0.39006,                0.16906,                0.82722,             0.00024064,             0.00024064,             0.00024064
                     23,                0.41101,                0.22302,                0.88027,                0.99629,                0.99961,                0.99493,                0.94264,                 0.3868,                0.16513,                0.82502,             0.00018406,             0.00018406,             0.00018406
                     24,                0.40326,                0.21363,                0.87993,                0.99661,                0.99872,                0.99486,                0.94372,                0.38494,                0.16086,                0.82429,             0.00012747,             0.00012747,             0.00012747
